daydec,Direct Beam,DirectHz,GlobalHz,DifHz
4.14583333333333,0,0,0,0
4.1875,0,0,0,0
4.22916666666667,0,0,0,0
4.27083333333333,0,0,0,0
4.3125,431.25674135157,61.0741925930584,105.376121082844,44.3019284897858
4.35416666666667,716.324298074748,238.175270646261,317.92599213814,79.7507214918796
4.39583333333333,831.616312700106,407.12189197676,501.976066973084,94.8541749963239
4.4375,886.447075873939,533.722196767653,636.480670642076,102.758473874423
4.47916666666667,910.054314288965,602.85337933785,709.266506063268,106.413126725418
4.52083333333333,911.521128616832,607.509075657957,714.15561596141,106.646540303452
4.5625,891.351661078552,547.237222905368,650.740148240611,103.502925335243
4.60416666666667,842.001703373961,428.077622395103,524.378365977505,96.3007435824027
4.64583333333333,738.704931755535,263.763377113358,346.349304915417,82.5859278020591
4.6875,492.331053035592,83.8076395915704,135.779583922168,51.9719443305979
4.72916666666667,0,0,0,0
4.77083333333333,0,0,0,0
4.8125,0,0,0,0
4.85416666666667,0,0,0,0
4.89583333333333,0,0,0,0
4.9375,0,0,0,0
4.97916666666667,0,0,0,0
5.02083333333333,0,0,0,0
5.0625,0,0,0,0
5.10416666666667,0,0,0,0
5.14583333333333,0,0,0,0
5.1875,0,0,0,0
5.22916666666667,0,0,0,0
5.27083333333333,0,0,0,0
5.3125,429.990398130347,60.6591028016941,104.801056015203,44.1419532135087
5.35416666666667,716.117614536037,237.95862845382,317.683445167488,79.7248167136676
5.39583333333333,831.716402429476,407.334349805429,502.202641181027,94.8682913755976
5.4375,886.701041003843,534.436859167133,637.234120903189,102.797261736056
5.47916666666667,910.433478641715,604.08295580932,710.556853524746,106.473897715426
5.52083333333333,912.046319366224,609.21791620303,715.948743405778,106.730827202747
5.5625,892.093249372381,549.343612866342,652.960177188464,103.616564322123
5.60416666666667,843.131103889049,430.450171249435,526.909761154554,96.4595899051193
5.64583333333333,740.702681651896,266.192928339631,349.033673234324,82.840744894693
5.6875,497.032456244928,85.7961035484666,138.354667330447,52.5585637819807
5.72916666666667,0,0,0,0
5.77083333333333,0,0,0,0
5.8125,0,0,0,0
5.85416666666667,0,0,0,0
5.89583333333333,0,0,0,0
5.9375,0,0,0,0
5.97916666666667,0,0,0,0
6.02083333333333,0,0,0,0
6.0625,0,0,0,0
6.10416666666667,0,0,0,0
6.14583333333333,0,0,0,0
6.1875,0,0,0,0
6.22916666666667,0,0,0,0
6.27083333333333,0,0,0,0
6.3125,428.906305906495,60.3063739668157,104.311467897964,44.0050939311481
6.35416666666667,715.988542931306,237.831833337028,317.540638214061,79.7088048770334
6.39583333333333,831.860556029446,407.64639515798,502.535117475528,94.8887223175472
6.4375,886.985003157119,535.254374315727,638.09531327167,102.840938955943
